TS938.4 轻工业、手工业;工艺美术制品工业;民间工艺美术制品;木偶制作;
TU532+.65 建筑科学;建筑材料;有机材料、建筑化工材料;建筑塑料及其制品;建筑塑料制品;门、窗等塑料配件和零件;
R187+.4 医药、卫生;预防医学、卫生学;流行病学与防疫;消毒;光线消毒、紫外线消毒;
O629.12 化学;有机化学;天然化合物;碳水化合物、糖;多糖;
S147.35 农业科学;农业基础科学;肥料学;积肥技术、调制与施肥效益;施肥方法;各种条件的施肥方法;
TS251.8 食品工业;屠宰及肉类加工工业;肉类食品加工厂、屠宰场;
S776.27+2 农业科学;林业;森林工程、林业机械;营林作业机械与设备;抚育机械;割草、割灌机具;
[TQ353.9] 工业技术;化学工业;纤维素质的化学加工工业;植物纤维水解工业;三废处理与综合利用;
R914.4 医药、卫生;药学;药物基础科学;药物化学;有机药物化学;
S222.5+5 农业工程;农业机械及农具;耕耘机具;农田基本建设机具;挖掘机;
G834.23 教育、体育;体育;体操运动;艺术体操;轻器械体操;球;
[Q944.3+1] 生物科学;植物学;植物形态学;植物生态形态学;植物再生作用;
S625.5+8 农业科学;园艺;设施园艺（保护地栽培）;温室;温室管理;浇水;
S341.2 农业科学;农学（农艺学）;耕作学与有机农业;一般耕作技术;整地;
S725.4 农业科学;林业;造林学、林木育种及造林技术;造林技术;整地;
TS943.3+2 轻工业、手工业;服装工业、制鞋工业;制鞋工业;结构、部件及配件;鞋跟;
TS943.3+1 轻工业、手工业;服装工业、制鞋工业;制鞋工业;结构、部件及配件;鞋底、内底;
S851.66 动物医学;动物医学（兽医学）;家畜卫生及防疫;兽医卫生保健组织;兽医器材及药品管理;
TS952.3+5 其他轻工业、手工业;体育器具制造工业;球类运动器具;网球、球网及附件;
S821.4+3 农业科学;畜牧、狩猎;家畜;马;饲养管理;放牧;
{S981.14} 农业科学;水产、渔业;水产物运输;水产生物运输;鱼类的运输及设备;活鱼;
S482.4 农业科学;植物保护;农药防治（化学防治）;各种农药;除草剂（杀草剂）;
TQ457.1 工业技术;化学工业;农药工业;除草剂;无机除草剂;
S973.2+5 农业科学;水产、渔业;水产捕捞;捕捞技术;网鱼法;抄网、掩网捕捞;
S972.23 农业科学;水产、渔业;水产捕捞;渔具与捕鱼设备;渔网具;抄网、掩网;
TS943.54 服装工业、制鞋工业;制鞋工业;制鞋机具与设备;压合设备;
J526.5 工艺美术;中国工艺美术;金属工艺美术;徽章;
R608 医药、卫生;外科学;外科诊疗器械与用具;
TS251.8 食品工业;屠宰及肉类加工工业;肉类食品加工厂、屠宰场;
TS251.3 食品工业;屠宰及肉类加工工业;屠宰加工机械与设备;
R454.1 医药、卫生;临床医学;治疗学;物理疗法、自然疗法;电疗法、磁疗法;
S372 农业科学;农学（农艺学）;农产品收获;收获;
TS959.14 毛发、羽毛加工及制品;假发、假须、假睫毛;
TS974.25 生活服务技术;美容;理发;假发;
TS941.716 服装工业;各种服装制品;各种服装：按年龄分;
S224.21 农业机械及农具;田间管理机械;肥料机械;肥料施肥机具;
[S149] 农业科学;农业基础科学;肥料学;施肥机具;
S224.22 农业工程;农业机械及农具;田间管理机械;肥料机械;施肥机;
S223.2+5 农业工程;农业机械及农具;种植机械;播种机;特殊结构播种机;
TS958.1+5 玩具制造工业;各种玩具：按造型分;交通工具;
TS254.5+1 食品工业;水产加工工业;水产制品;鱼粉、鱼翅;
TS943.59 轻工业、手工业;制鞋工业;制鞋工业;制鞋机具与设备;其他;
S985.2 水产;水产物加工;水产品原料处理与加工设备;甲壳类;
S663.1 农业科学;园艺;果树园艺;浆果类;葡萄;
G835.5 体育;体育;体操运动;运动辅助体操;旋梯（爬绳）、爬竿;
Q949.763.3 植物学;植物分类学（系统植物学）;被子植物亚门;伞形花目;伞形科;
Q949.71+7.2 植物学;植物分类学（系统植物学）;被子植物亚门;天南星科;
Q949.776.5 植物学;植物分类学（系统植物学）;被子植物亚门;夹竹桃科;
Q949.748.3 植物学;植物分类学（系统植物学）;被子植物亚门;十字花科;
Q949.776.4 植物学;植物分类学（系统植物学）;被子植物亚门;龙胆科;
Q949.71+4.2 植物学;植物分类学（系统植物学）;被子植物亚门;禾本科;
TS938.7 轻工业、手工业;工艺美术制品工业;民间工艺美术制品;假面具、脸谱;
S972.3 农业科学;水产、渔业;水产捕捞;渔具与捕鱼设备;钓鱼具;
S866.1 农业科学;畜牧、动物医学、狩猎、蜂;狩猎方法、设备及用具;捕猎、捕捉方法和用具;
TS453 工业技术;轻工业、手工业;烟草工业;烟草加工工艺及制品;雪茄烟;
R454.1 医药、卫生;临床医学;治疗学;物理疗法、自然疗法;电疗法、磁疗法;
G849.3 文化、科学、教育、体育;球类运动;高尔夫球;
S817.11+1 农业科学;畜牧;普通畜牧学;畜牧业的机具及设备;饲料收获加工机械;干草及青贮饲料收获机;割草机;
S776.27+2 农业科学;林业;森林工程、林业机械;营林作业机械与设备;抚育机械;割草、割灌机具;
[S968.1] 农业科学;水产、渔业;水产养殖技术;各种海产动植物养殖;鱼类养殖;
S225.2+2 农业工程;农业机械及农具;收获机械;分段收获机;割捆机;
S222.23 农业科学;农业工程;农业机械及农具;耕耘机具;表土耕作机械;镇压器;
S965.111 农业科学;水产、渔业;水产养殖技术;各种鱼类养殖;淡水鱼;青鱼;
S226.4 农业机械及农具;农产品初步加工机具;剥皮机;
S225.7+3 农业机械及农具;收获机械;块根作物收获机;花生、油莎豆收获机;
TU824+.2 建筑科学;房屋建筑设备;房屋卫生技术设备;卫生设备;浴室及其设备;
TS452+.3 轻工业、手工业;烟草工业;烟草加工工艺及制品;卷烟制造;切丝、烘丝;
TS452+.2 轻工业、手工业;烟草工业;烟草加工工艺及制品;卷烟制造;抽梗、压梗;
S816.9 畜牧;普通畜牧学;饲料;饲料加工处理与贮藏、保存方法;
TS252.42 食品工业;乳品加工工业;乳品加工工艺;乳制品加工;
TM925.42 电能应用;家用电器及其他电器设备;整容、保健用电器;按摩电器;
TS958.6+4 玩具制造工业;各种玩具：按用途分;游艺性玩具;
TS943.3+1 服装工业、制鞋工业;制鞋工业;结构、部件及配件;鞋底、内底;
TQ658.1 工业技术;化学工业;香料及化妆品工业;化妆品;香水、香水精;
TS952.95 其他轻工业、手工业;体育器具制造工业;其他体育器具;登山运动器具;
TS941.75 服装工业;服装工业;各种服装制品;各种服装：装饰用品分;
G885 教育、体育;体育;其他体育运动;击剑;
S222.12+1 农业科学;农业工程;农业机械及农具;耕耘机具;犁;机力犁;铧式犁;
S222.11 农业科学;农业工程;农业机械及农具;耕耘机具;犁;畜力犁;
TS943.3+2 制鞋工业;制鞋工业;结构、部件及配件;鞋跟;
S222.21+1 农业科学;农业工程;农业机械及农具;耕耘机具;表土耕作机械;耙;钉齿耙;
TS252.51 轻工业、手工业;食品工业;乳品加工工业;各种乳制品;奶粉;
G845 教育、体育;体育;球类运动;网球;
TS952.3+5 体育器具制造工业;球类运动器具;网球、球网及附件;
[R392.5] 医药、卫生;基础医学;医学免疫学;免疫药理学;
R967 医药、卫生;药学;药理学;免疫药理学;
TS959.16 毛发、羽毛加工及制品;羽绒、羽毛加工及其制品;
S224.22 农业工程;农业机械及农具;肥料机械;厩肥、堆肥装载机，施肥机;
S776.24+1 林业;林业机械;林业机械;苗圃机械;厩肥捣碎和施肥机械;
S894.4 农业科学;畜牧、狩猎、蜂;养蜂、益虫饲养;饲养管理;蜂箱;
TS453 烟草工业;烟草加工工艺及制品;雪茄烟;
S817.9 农业科学;畜牧;普通畜牧学;畜牧业的机具及设备;
S571.2 农业科学;农作物;饮料作物;咖啡;
S226.1+1 农业机械及农具;脱粒机具;简易脱粒机具;
S571.3 农业科学;农作物;饮料作物;可可;
[S149] 农业科学;农业基础科学;肥料学;施肥机具;
S224.22 农业工程;农业机械及农具;田间管理机械;肥料机械;施肥机;
S223.2+5 农业工程;农业机械及农具;种植机械;播种机;特殊结构播种机;
TG531 金属学与金属工艺;金属切削加工及机床;镗削加工及镗床;卧式镗床;
TG386.43 金属学与金属工艺;金属压力加工;冷冲压（钣金加工）;冷冲压工艺;各种型材的冷冲压工艺;管材冲压;
TH137.33 机械、仪表工业;机械零件及传动装置;液压传动;传动装置;动力式液压传动;
TQ426.68 化学工业;试剂与纯化学品的生产;催化剂（触媒）;催化剂制备工艺;催化剂成型方法;
TG231.66 金属学与金属工艺;铸造;铸造机械设备;造型材料制备机械;造型、造芯设备;造芯机械;
TQ325.1 工业技术;化学工业;合成树脂与塑料工业;聚合类树脂及塑料;聚烯烃类及塑料;
TS803.2 轻工业、手工业;印刷工业;一般性问题;机械与设备;排版设备;
TG454 工业技术;金属学与金属工艺;焊接、金属切割及金属粘接;焊接工艺;钎焊;
[TQ322.4+1] 工业技术;化学工业;合成树脂与塑料工业;合成树脂及塑料;合成树脂;热固性树脂;
V244.21+2 航空、航天;航空;航空仪表、航空设备、飞行控制与导航;防护、救生设备及其技术;救生设备;应急离机设备;弹射座椅;
TG315.5+1 工业技术;金属学与金属工艺;金属压力加工;锻造、锻压与锻工;锻造用机械与设备;曲柄压力机;模锻曲柄压力机;
V275+.1 航空、航天;航空;各类型航空器;短距和垂直升降航空器;直升飞机、旋翼机;
TQ327.4 化学工业;合成树脂与塑料工业;增强塑料、填充塑料;硼纤维增强塑料;
TH211+.1 机械、仪表工业;起重机械与运输机械;起重机械;简易起重机械;千斤顶（举重器）;
TQ425.6+5 化学工业;试剂与纯化学品的生产;离子交换剂;离子交换剂的使用方法;电解法;
TQ321.22 化学工业;合成树脂与塑料工业;天然高分子树脂与塑料;改性天然树脂与塑料;纤维素脂及塑料;
TG455 工业技术;金属学与金属工艺;焊接、金属切割及金属粘接;焊接工艺;堆焊及补焊;
TS825 轻工业、手工业;印刷工业;平版印刷;印刷过程与设备;
U271 交通运输;铁路运输;车辆工程;客车;
TG61+4 金属学与金属工艺;金属切削加工及机床;齿轮加工及齿轮机床;拉齿及拉齿机;
U462.3+2 交通运输;公路运输;汽车工程;整车设计与计算;整车性能计算;制动性计算;
U260.352 交通运输;铁路运输;机车工程;机车构造;制动装置;电控制动及装置;
U463.52+3 交通运输;公路运输;汽车工程;汽车结构部件;制动系统;制动操纵装置;电力式;
TS125.6 轻工业、手工业;纺织工业、染整工业;麻纺织;麻织工艺;麻袋缝制;
TS892 轻工业、手工业;印刷工业;印刷技术的应用;报纸印刷;
TG583 工业技术;金属学与金属工艺;金属切削加工及机床;磨削加工与磨床;万能磨床;
TG580.23+2 金属学与金属工艺;金属切削加工及机床;磨削加工与磨床;磨床设计、制造与维修;结构;液压传动系统及装置;
TH218 机械、仪表工业;起重机械与运输机械;起重机械;各种用途起重机;
TG580.23+1 金属学与金属工艺;金属切削加工及机床;磨削加工与磨床;磨床设计、制造与维修;结构;机械结构;
TH236 机械、仪表工业;起重机械与运输机械;自动扶梯;
U260.331+.7 铁路运输;机车工程;机车构造;走行部分;转向架;连接装置;
TG335.4+1 金属学与金属工艺;金属压力加工;轧制;轧制工艺;型材轧制;角钢轧制;
TU642+.1 建筑科学;建筑施工机械和设备;混凝土机械与设备;混凝土及砂浆搅拌机、搅拌车;砂浆搅拌机;
TU642+.2 建筑科学;建筑施工机械和设备;混凝土机械与设备;混凝土及砂浆搅拌机、搅拌车;混凝土搅拌机;
TU642 建筑科学;建筑施工机械和设备;混凝土机械与设备;混凝土及砂浆搅拌机、搅拌车;
TD534 工业技术;矿业工程;矿山运输与设备;矿井提升;提升机;
N64 自然科学参考工具书;表解、图解、谱录、数据、公式、图册;
TG714 金属学与金属工艺;刀具、磨料、磨具、夹具、模具和手工具;刀具;铣刀;
TH237+.2 机械、仪表工业;起重机械与运输机械;运输机械;输送机辅助设备;抛料机;
U262.43 交通运输;铁路运输;机车工程;内燃机车;牵引电机及电器;牵引电器;
U469.5+2 交通运输;公路运输;汽车工程;各种汽车;挂车;挂车;
TK414.4 能源与动力工程;内燃机;汽油机;构造;传动装置(驱动装置);
TQ026.2 化学工业;一般性问题;化工过程（物理过程及物理化学过程）;蒸汽的冷凝;
TU857 工业技术;建筑科学;房屋建筑设备;机电设备;电梯工程;
TH211+.6 机械、仪表工业;起重机械与运输机械;起重机械;简易起重机械;升降机、升降台;
TG549.3 金属学与金属工艺;金属切削加工及机床;削加工及铣床;工具铣床;
TB486+.2 一般工业技术;工业通用技术与设备;包装工程;包装机械设备;组合机;
U272.4 交通运输;铁路运输;车辆工程;货车;罐车;
TG315.6 工业技术;金属压力加工;锻造用机械与设备;摩擦压力机;
TQ573+.3 化学工业;感光材料工业;机械与设备;涂布机械与设备;
O647.31+6.2 化学;物理化学（理论化学）、化学物理学;表面现象的物理化学;吸附;吸附理论;离子交换吸附作用;离子交换剂;
TQ425.6+3 化学工业;试剂与纯化学品的生产;离子交换剂;离子交换剂的使用方法;柱式操作法;
TQ425.6+2 化学工业;试剂与纯化学品的生产;离子交换剂;离子交换剂的使用方法;分批操作法（混床法）;
TD456 工业技术;矿业工程;矿山机械;选矿机械;浮选机;
TF803.23 冶金工业;有色金属冶炼;一般性问题;金属提炼;湿法冶炼;分离;
U463.43+3 公路运输;汽车工程;汽车结构部件;转向系统;转向器;曲柄传动式;
TG61+9 金属学与金属工艺;金属切削加工及机床;齿轮加工及齿轮机床;齿轮其他加工机床;
U463.83+6 公路运输;汽车工程;汽车结构部件;驾驶室及车身;驾驶室和车身的部件与构件;座椅;
V223+.6 航空、航天;航空;飞机构造与设计;机身、座舱;座舱盖、整流片、整流罩;
V228.8 航空、航天;航空;飞机构造与设计;动力装置;发动机整流罩、螺旋桨帽、桨轴;
TG596 金属学与金属工艺;金属切削加工及机床;磨削加工与磨床;程序控制磨床和数控磨床;
TS885 轻工业、手工业;印刷工业;装订技术、装帧技术;装订过程与设备;
TH218 机械、仪表工业;起重机械与运输机械;起重机械;各种用途起重机;
U213.4+22 铁路运输;铁路线路工程;线路构造;钢轨;钢轨润滑、钢轨喷油器;
U262.24+1 铁路运输;机车工程;内燃机车;辅助装置;润滑系统;润滑油、泵;
TG155.2+1 金属学与金属工艺;金属学与热处理;热处理;热处理机械与设备;加热装置;感应加热装置;
TG56+1 金属学与金属工艺;金属切削加工及机床;锯削加工与锯床、锉床;锯床;
TG315.4+1 金属压力加工;锻造、锻压;锻造用机械与设备;自由锻水压机;
V214.1+1 航空、航天;航空;航空器结构力学;结构分析与计算;尾翼;
V224+.4 航空、航天;航空;飞机构造与设计;机翼;翼上辅助装置;
TG386.3+2 金属学与金属工艺;金属压力加工;冷冲压（钣金加工）;深冲、拉延成型、拉深;
U464.138+.2 公路运输;汽车工程;汽车发动机;往复式发动机;部件、零件;冷却系统;散热器;
U463.33+5.1 公路运输;汽车工程;汽车结构部件;行走系统;悬挂;悬挂零部件;减震器（缓冲器）;
TS803.2 印刷工业;一般性问题;机械与设备;排版设备;
TQ028.3 化工过程（物理过程及物理化学过程）;分离过程;单相系液态混合物的分离过程;
TP241.3 自动化技术及设备;机器人技术;机械手;专用机械手;
TP241.3 自动化技术及设备;机器人技术;机械手;专用机械手;
U482.1 公路运输;其他道路运输工具;电车;有轨电车;
TG454 金属学与金属工艺;焊接、金属切割;焊接工艺;钎焊;
TS951.12 其他轻工业、手工业;文教用品制造工业;笔;铅笔;
TG457.11 金属学与金属工艺;焊接、金属切割;焊接工艺;金属材料的焊接;钢;
TG457.12 金属学与金属工艺;焊接、金属切割;焊接工艺;;金属材料的焊接;铸铁;
TG457.14 金属学与金属工艺;焊接、金属切割;焊接工艺;金属材料的焊接;铝;
TS815 印刷工业;凸版印刷;印刷过程与设备;
U463.343 交通运输;公路运输;汽车工程;汽车结构部件;行走系统;车轮;轮毂;
U463.342 交通运输;公路运输;汽车工程;汽车结构部件;行走系统;车轮;轮辋;
TG333.17 金属学与金属工艺;金属压力加工;轧制;轧钢机械设备;轧机主列机构和设备;轧辊及轧辊轴承;
V228.5 航空、航天;航空;飞机构造与设计;动力装置;发动机和螺旋桨传动装置;
U664.5+1 交通运输;水路运输;船舶工程;船舶机械;船舶辅机及设备;空气压缩机、空调设备;
U664.5+2 交通运输;水路运输;船舶工程;船舶机械;船舶辅机及设备;冷冻机械、冷凝器;
U664.5+3 交通运输;水路运输;船舶工程;船舶机械;船舶辅机及设备;热交换器、预热器;
U463.342+.3 公路运输;汽车工程;汽车结构部件;行走系统;车轮;轮辋;组合式;
U270.38+1 交通运输;铁路运输;车辆工程;车体构造及设备;车辆设备;电气照明设备;
TS951.8+1 其他轻工业、手工业;文教用品制造工业;绘图工具;绘图板、绘图桌;
TG713+.4 金属工艺;刀具;孔加工刀具;铰刀;
V214.1+2 航空、航天;航空;航空器结构力学;结构分析与计算;机身;
V223+.9 航空、航天;航空;飞机构造与设计;机身;门窗;
V223+.6 航空、航天;航空;飞机构造与设计;座舱;座舱盖;
V224 航空、航天;航空;飞机构造与设计;机翼;
V214.1+1 航空、航天;航空;航空器结构力学;结构分析与计算;机翼和尾翼;
TG233.1+3 工业技术;金属学与金属工艺;铸造;铸造机械设备;铸造机械;压力铸造机;真空压铸机;
TH138.52+2 工业技术;机械;机械零件及传动装置;气压传动;气压元件;控制阀;流量阀;
TS852 工业技术;轻工业、手工业;印刷工业;特种印刷;特种印刷：按油墨分;
G863.2 体育;水上、冰上与雪上运动;雪上运动;雪车、雪橇、雪犁;
TG375+.9 金属学与金属工艺;金属压力加工;挤压;挤压机械与设备;压制、挤压自动化;
TG580.692 金属学与金属工艺;金属切削加工及机床;磨削加工与磨床;磨削加工工艺;抛光;
TJ61+7 工业技术;武器工业;水中兵器;水雷;探雷、扫雷设备;
TG316.1+5 工业技术;金属学与金属工艺;金属压力加工;锻造、锻压与锻工;锻造工艺;锻工操作一般方法;冲孔、切断;
TG74+3 金属学与金属工艺;刀具、磨料、磨具、夹具、模具和手工具;磨具、研具;砂轮;
U260.34+2 交通运输;铁路运输;机车工程;机车构造;车钩与缓冲装置;缓冲装置;
U463.341+.8 交通运输;公路运输;汽车工程;汽车结构部件;行走系统;车轮;轮胎;轮胎密封装置;
U463.342+.1 交通运输;公路运输;汽车工程;汽车结构部件;行走系统;车轮;轮辋;辐板式;
V261.2+7 航空制造工艺;制造工艺过程及设备;冷加工;齿轮、螺纹加工;
TG555 金属学与金属工艺;金属切削加工及机床;刨削加工、刨床与插床（立刨）;插床（立刨床）;
TG484 工业技术;金属学与金属工艺;焊接、金属切割及金属粘接;金属切割及设备;电弧切割及设备;
TG444+.72 金属学与金属工艺;焊接、金属切割及金属粘接;焊接工艺;电弧焊;金属极电弧焊;气体保护焊;
TG580.64 金属学与金属工艺;金属切削加工及机床;磨削加工与磨床;磨削加工工艺;平面磨削;
TH218 机械、仪表工业;起重机械与运输机械;起重机械;各种用途起重机(含缆索起重机);
TJ51+8 武器工业;爆破器材、火炸药;爆破器材;扫雷器材;
E932.1 军事技术;武器、军用器材;弹药;轻武器弹药;
TS951.5+8 文教用品制造工业;簿册、活页印制;卡片;
TQ320.5+2 合成树脂与塑料工业;机械与设备;制品加工成型设备;
U676.6+2 交通运输;水路运输;船舶工程;航海技术管理与救助打捞;打捞工程;沉船打捞;
TG379 工业技术;金属学与金属工艺;金属压力加工;挤压;有色金属及合金挤压;
TG580.68 金属学与金属工艺;金属切削加工及机床;磨削加工与磨床;磨削加工工艺;研磨加工;
TG315.3+9 金属学与金属工艺;金属压力加工;锻造、锻压与锻工;锻造用机械与设备;锻锤;其他锻锤;
U463.341+.7 公路运输;汽车工程;汽车结构部件;车轮;轮胎;轮胎充气设备;
TG57 金属学与金属工艺;金属切削加工及机床;拉削加工与拉床;
TG333.2+1 金属学与金属工艺;金属压力加工;轧制辅助设备;剪切机;
TQ054+.1 化学工业;一般性问题;化工机械与仪器、设备;化工用炉灶;沸腾炉;
U463.91+1 交通运输;公路运输;汽车工程;汽车结构部件;汽车附属装置;牵引装置;鞍式牵引装置;
TG315.1+1 金属压力加工;锻造、锻压;锻造用机械与设备;锻炉及工具;锻炉;
TG552.5 金属切削加工及机床;刨削加工、刨床;工具运动刨床;旋转盘刨床、螺旋刨床;
TG519.5+6 金属学与金属工艺;金属切削加工及机床;车削加工及车床;麻花钻头车床;
TG74+8 金属学与金属工艺;磨具、模具和手工具;磨具、研具;研具;
U491.2+26 交通运输;公路运输;交通工程与交通管理;交通系统;交通道;行人与人行道;
U270.32 交通运输;车辆工程;车体构造及设备;车体与底架;
TG455 金属学与金属工艺;焊接、金属切割及金属粘接;焊接工艺;堆焊及补焊;
TH724 机械、仪表工业;仪器、仪表;坐标器、计算机具、计数器;计数器;
S222.21 农业工程;农业机械及农具;表土耕作机械;耙;
TG519.2 金属切削加工及机床;车削加工及车床（旋床）;联合车床;
TQ426.65 化学工业;试剂与纯化学品的生产;催化剂;催化剂制备工艺;催化剂载体;
U463.46 交通运输;公路运输;汽车工程;汽车结构部件;转向系统;转向系零部件;
TG659 金属学与金属工艺;金属切削加工及机床;程序控制机床及其加工;
O643.36+4 化学;物理化学（理论化学）、化学物理学;化学动力学、催化作用;催化;催化剂;催化剂的种类;
O652.62 分析化学;分析作业方法与技术;分离方法;溶剂萃取法;
TB752+.24 真空技术;真空获得技术及设备;真空泵;机械真空泵;离心真空泵;
O658.6+7 化学;分析化学;元素及化合物的分离方法;物相分析;超离心机法;
U260.331 铁路运输;机车工程;机车构造;走行部分;转向架;
U674.7+03.1 交通运输;水路运输;船舶工程;各种船舶;军用舰艇;结构;船体结构;
U674.95 交通运输;水路运输;船舶工程;各种船舶;船舶：按船体结构分;
U270.38+5 铁路运输;车辆工程;车体构造及设备;车辆设备;给水、卫生设备;
U463.42 交通运输;公路运输;汽车工程;汽车结构部件;转向系统;车轮转向;
TS758+.4 工业技术;轻工业、手工业;造纸工业;造纸工艺;纸品加工工艺;层压加工、复合加工;
U292.2+6 铁路运输;铁路运输管理工程;调车工作;调车场及调车设备;
V226+.2 航空、航天;航空;飞机构造与设计;起落装置;起落架减震器;
U260.9+2 交通运输;机车工程;各种用途机车;货运机车;
TS833 轻工业;印刷工业;凹版印刷;印版的制作;
TS871.1 印刷工业;其他印刷;孔版印刷;丝网印刷;
U261.2 交通运输;铁路运输;机车工程;蒸汽机车;蒸汽机部分;
U484 交通运输;公路运输;其他道路运输工具;自行车;
TS803.6 轻工业、手工业;印刷工业;一般性问题;机械与设备;印刷设备;
TG292 金属学与金属工艺;铸造;有色金属铸造;轻金属铸造;
TG28 金属学与金属工艺;铸造;铸造车间;
TQ336.1+3 橡胶工业;橡胶制品;轮胎;实心轮胎;
TG739 金属学;磨料、磨具;磨料;其他磨料;
TS833 轻工业、手工业;印刷工业;凹版印刷;印版的制作;
TS803.6 轻工业、手工业;印刷工业;机械与设备;印刷设备;
U263.4 交通运输;铁路运输;机车工程;燃气轮机车;电气设备;
V263.2+4 航空发动机制造;装配;装配工夹具;
U292.2+6 铁路运输;铁路运输管理工程;调车工作;调车场及调车设备;
TG244+.4 金属学与金属工艺;铸造;铸造工艺;浇注及凝固;浇口及冒口;
TG234.1 金属学与金属工艺;铸造;铸造机械设备;铸件落砂和清理设备;去除浇口、冒口;
TG62 金属学与金属工艺;金属切削加工及机床;螺纹加工及螺纹加工机床;
TG580.63+4 金属切削加工及机床;磨削加工与磨床;磨削加工工艺;螺纹磨削;
TQ423.92 化学工业;试剂与纯化学品的生产;表面活性剂;表面活性剂的应用;乳化剂、分散剂、增溶剂;
U464.134+.4 交通运输;公路运输;汽车工程;汽车发动机;往复式发动机;部件、零件;配气机构;进排气系统;
TQ126.4 化学工业;非金属元素及其无机化合物化学工业;砷及其无机化合物;
TF741.8 冶金工业;炼钢;电炉炼钢;直接还原电炉炼钢;
TQ613.3 化学工业;染料及中间体工业;各种结构的合成染料;靛系染料;
X703.1 环境科学、安全科学;废物处理与综合利用;废水的处理与利用;技术方法;
O623.76+3 化学;有机化学;脂肪族含氮化合物;氰酸及异氰酸的有机衍生物;
TS912+.3 工业技术;轻工业、手工业;五金制品工业;原材料及辅料;铝及铝合金;
TQ133.4 化学工业;金属元素的无机化合物化学工业;金属元素的无机化合物;超铀元素的无机化合物;
TG163 工业技术;金属学与金属工艺;金属学与热处理;热处理;铸铁热处理;
O623.42+3 化学;有机化学;无环化合物;醇的衍生物;醚（乙醚）;
TQ331.4+2 化学工业;橡胶工业;胶乳;合成胶乳;氯丁胶乳（聚氯丁二烯胶乳）;
TQ132.2 化学工业;金属元素的无机化合物化学工业;第Ⅱ族金属元素的无机化合物;镁的无机化合物;
TQ441.12 工业技术;化学工业;化学肥料工业;氮肥;铵态氮肥;硝酸铵;
TQ352.71 工业技术;化学工业;纤维素质的化学加工工业;纤维素化学加工工业;产品;纤维素酯类;
TG155.4+2 金属学与金属工艺;金属学与热处理;热处理;热处理机械与设备;辅助设备;酸洗设备;
O623.83 化学;有机化学;脂肪族化合物（无环化合物）;亚砜、砜及硫化物;
U473.2+1 汽车工程;汽车用燃料、润滑料;液化可燃气燃料;液化石油气;
O623.76+5 化学;有机化学;脂肪族化合物（无环化合物）;硫氰酸及异硫氰酸的有机衍生物;
TQ613.1+1 工业技术;化学工业;染料及中间体工业;各种结构的合成染料;偶氮染料;单偶氮染料;
TQ522.15 工业技术;化学工业;炼焦化学工业;煤的高温干馏;炼焦;炼焦炉;
O623.75+2 化学;有机化学;无环化合物;脂肪族含氮化合物;羟氨及联氨衍生物;肼类;
TF803.13+1 冶金工业;有色金属冶炼;金属提炼;火法提炼;热还原法;铝热法;
TQ645.9+3 化学工业;油脂和蜡的化学加工工业;油脂工业产品及副产品;副产品加工及利用;蜡;
