游戏;玩偶;玩偶;手指伸进去表演的木偶，套在手指上表演的手套木偶;	轻工业、手工业;工艺美术制品工业;民间工艺美术制品;木偶制作;	建筑科学;建筑设计;工业建筑;构筑物;塔形、柱形等构筑物;烟囱;
农业;林业;化学化合物或制剂的杀生;除草剂;杀藻剂;	农业科学;植物保护;农药防治（化学防治）;各种农药;除草剂（杀草剂）;	化学工业;橡胶工业;胶乳;合成胶乳;其他胶乳;
农业;林业;化学化合物或制剂的杀生;除草剂;杀藻剂;	工业技术;化学工业;农药工业;除草剂;无机除草剂;	冶金工业;有色金属冶炼;金属提炼;火法提炼;热还原法;铝热法;
农业;畜牧业;狩猎;诱捕;捕鱼;捕鱼;捕鱼用抄网;捕鱼用捞网;	农业科学;水产、渔业;水产捕捞;捕捞技术;网鱼法;抄网、掩网捕捞;	化学工业;染料及中间体工业;各种性能的合成染料;碱性染料;
农业;畜牧业;狩猎;诱捕;捕鱼;捕鱼;捕鱼用抄网;捕鱼用捞网;	农业科学;水产、渔业;水产捕捞;渔具与捕鱼设备;渔网具;抄网、掩网;	地球科学;测绘学;地图制图学（地图学）;地图模型、地球仪;
珠宝;其他人身装饰品;勋章;徽章;	工艺美术;中国工艺美术;金属工艺美术;徽章;	公路运输;道路工程;道路养护与维修;机动养路机械与设备;洒水车;
医学;卫生学;诊断;外科;外科器械、装置或方法;	医药、卫生;外科学;外科诊疗器械与用具;	机械、仪表工业;机械零件及传动装置;转动机件;轴承;滑动轴承;塑料滑动轴承;
屠宰;肉品处理;家禽或鱼的加工;屠宰;屠宰厂设备;	食品工业;屠宰及肉类加工工业;屠宰加工机械与设备;	化学工业;磁性记录材料工业;原材料及辅助物料;载体;
医学;卫生学;电疗;磁疗;放射疗;超声波疗;电疗法;其所用的线路;	医药、卫生;临床医学;治疗学;物理疗法、自然疗法;电疗法、磁疗法;	纺织工业;针织;针织工艺;经编工艺;
农业;收获;割草;农产品的收获方法;	农业科学;农学（农艺学）;农产品收获;收获;	机械、仪表工业;起重机械与运输机械;起重机械;各种用途起重机(含缆索起重机);
服装;人造花;假发;羽饰;假发;	毛发、羽毛加工及制品;假发、假须、假睫毛;	轻工业、手工业;纺织工业、染整工业;染整工业;印花;印花方法;
服装;人造花;假发;羽饰;假发;	生活服务技术;美容;理发;假发;	电工技术;电机;发电机、大型发电机组;永磁发电机;
农业;林业;种植;施肥;带离心轮的施肥机;	农业机械及农具;田间管理机械;肥料机械;肥料施肥机具;	地质、矿产普查与勘探;钻探工程;钻具及工具;钻进工具;
农业;林业;种植;施肥;带离心轮的施肥机;	农业科学;农业基础科学;肥料学;施肥机具;	农业工程;农业机械及农具;耕耘机具;农田基本建设机具;挖掘机;
农业;林业;种植;施肥;带离心轮的施肥机;	农业工程;农业机械及农具;田间管理机械;肥料机械;施肥机;	机械、仪表工业;机械零件及传动装置;液压传动;传动装置;动力式液压传动;
农业;林业;种植;播种;施肥;带离心轮的播种机;	农业工程;农业机械及农具;种植机械;播种机;特殊结构播种机;	电信技术;通信;数据通信;各种数据传输系统;数字数据传输系统;
游戏;娱乐活动;玩具;交通玩具;模型铁路;	玩具制造工业;各种玩具：按造型分;交通工具;	金属学与金属工艺;金属切削加工及机床;拉削加工与拉床;
食品;它们的制备或处理;水产食物制品;鱼肉或鱼粉;	食品工业;水产加工工业;水产制品;鱼粉、鱼翅;	工业技术;化学工业;炼焦化学工业;煤的高温干馏;炼焦;炼焦炉;
鞋类;制鞋的机械、工具、设备;有供鞋运输器的制鞋机;	轻工业、手工业;制鞋工业;制鞋工业;制鞋机具与设备;其他;	文教用品制造工业;簿册、活页印制;卡片;
农业;园艺;果树、葡萄;葡萄、果树的栽培;	农业科学;园艺;果树园艺;浆果类;葡萄;	无线电电子学;基本电子电路;滤波技术、滤波器;谐振体;
运动;体育锻炼、体操;训练器械;爬竿、爬架或爬梯;	体育;体育;体操运动;运动辅助体操;旋梯（爬绳）、爬竿;	自动化技术;计算技术、计算机技术;程序设计、软件工程;软件工程;
新植物或获得新植物的方法;特征在于其植物学分类的被子植物;伞形花科;	植物学;植物分类学（系统植物学）;被子植物亚门;伞形花目;伞形科;	科学、教育、体育;体育;文体活动;康乐球、台球、弹子;
新植物或获得新植物的方法;特征在于其植物学分类的被子植物;天南星科;	植物学;植物分类学（系统植物学）;被子植物亚门;天南星科;	电信技术;基本电子电路;数字电路;逻辑电路;
新植物或获得新植物的方法;特征在于其植物学分类的被子植物;十字花科;	植物学;植物分类学（系统植物学）;被子植物亚门;十字花科;	化学工业;硅酸盐工业;玻璃工业;生产机械制造;
新植物或获得新植物的方法;特征在于其植物学分类的被子植物;龙胆科;	植物学;植物分类学（系统植物学）;被子植物亚门;龙胆科;	无线电电子学;电子元件、组件;移相器、铁氧体移相器;
服装;人造花;假发;面具;面具或掩藏整身的蒙面具;假面具;	轻工业、手工业;工艺美术制品工业;民间工艺美术制品;假面具、脸谱;	植物学;植物分类学（系统植物学）;被子植物亚门;伞形花目;伞形科;
人类生活必需品;农业;诱捕;捕鱼;鱼类;捕鱼;钓鱼竿;	农业科学;水产、渔业;水产捕捞;渔具与捕鱼设备;钓鱼具;	无线电电子学、电信技术;电子元件、组件;微波传输控制元件;波导定向耦合器;
烟草;雪茄烟;纸烟;吸烟者用品;雪茄烟或纸烟的烟嘴;雪茄烟;纸烟;	工业技术;轻工业、手工业;烟草工业;烟草加工工艺及制品;雪茄烟;	机械、仪表工业;仪器、仪表;天文仪器;天象仪;
医学或兽医学;卫生学;电疗;磁疗;放射疗;超声波疗;磁疗法;	医药、卫生;临床医学;治疗学;物理疗法、自然疗法;电疗法、磁疗法;	金属学与金属工艺;金属切削加工及机床;拉削加工与拉床;
运动;体育锻炼;球类;高尔夫球杆,高尔夫球球棒;	文化、科学、教育、体育;球类运动;高尔夫球;	农业科学;畜牧;普通畜牧学;畜牧业的机具及设备;饲料收获加工机械;干草及青贮饲料收获机;割草机;
农业;畜牧业;狩猎;收获;割草;收割机或割草机的附件;保护人或牲畜的装置;	农业科学;畜牧;普通畜牧学;畜牧业的机具及设备;饲料收获加工机械;干草及青贮饲料收获机;割草机;	交通运输;水路运输;船舶工程;航海技术管理与救助打捞;打捞工程;沉船打捞;
农业;林业;收获;割草;收割机或割草机的附件;固定在收割机或割草机上的刃磨设备;	农业科学;林业;森林工程、林业机械;营林作业机械与设备;抚育机械;割草、割灌机具;	电工技术;电气化、电能应用;电气照明;照明器;指示灯;
农业;林业;畜牧业;狩猎;收获;割草;割捆机;	农业工程;农业机械及农具;收获机械;分段收获机;割捆机;	化学工业;染料及中间体工业;各种结构的合成染料;靛系染料;
农业;林业;农业或林业的整地;一般农业机械或农具的部件、零件或附件;镇压器;	农业科学;农业工程;农业机械及农具;耕耘机具;表土耕作机械;镇压器;	原子能技术;各种核反应堆、核电厂;核电厂（核电站）;
捕鱼;鱼类;饲养或养殖其他类不包含的动物;鱼类等的养殖;鱼的;	农业科学;水产、渔业;水产养殖技术;各种鱼类养殖;淡水鱼;青鱼;	一般工业技术;摄影技术;摄影机具与设备;照相设备与复制设备;照相机;
农业;林业;畜牧业;收获;割草;花生收获机;	农业机械及农具;收获机械;块根作物收获机;花生、油莎豆收获机;	轻工业、手工业;五金制品工业;五金制品;日用五金制品;炉灶及灶具;
家庭用的物品或设备;未列入其他类目的卫生设备;盥洗室辅助用具;浴缸;淋浴器;	建筑科学;房屋建筑设备;房屋卫生技术设备;卫生设备;浴室及其设备;	真空电子技术;气体放电器件、离子管;脉冲放电管;火花放电管;
烟草;纸烟;吸烟或嚼烟的制造或制备;烟草;烟叶除梗;弄弯、切丝、烘丝;	轻工业、手工业;烟草工业;烟草加工工艺及制品;卷烟制造;切丝、烘丝;	金属学与金属工艺;金属学与热处理;热处理;有色金属及其合金的热处理;镁及其合金的热处理;
烟草;吸烟或嚼烟的制造或制备;烟草;烟叶除梗;抽梗;通过拔出烟梗;	轻工业、手工业;烟草工业;烟草加工工艺及制品;卷烟制造;抽梗、压梗;	合成树脂与塑料工业;机械与设备;制品加工成型设备;
其他类不包含的食品或食料;专门适用于生产动物饲料原料的保存方法;	畜牧;普通畜牧学;饲料;饲料加工处理与贮藏、保存方法;	化学工业;高分子化合物工业（高聚物工业）;生产过程;改性处理;交联法;
农业;林业;畜牧业;乳制品的加工;黄油或类似物的揉制机;	食品工业;乳品加工工业;乳品加工工艺;乳制品加工;	农业科学;农业基础科学;肥料学;农家肥料;堆肥、沤肥;
游戏;供公共娱乐用的类似装置;旋转游艺机;	玩具制造工业;各种玩具：按用途分;游艺性玩具;	电工技术;电气化、电能应用;家用电器及其他电器设备;其他电器;家用报警器;
鞋类;鞋类的特征;鞋类的部件;插入的内底，如鞋垫或嵌体;	服装工业、制鞋工业;制鞋工业;结构、部件及配件;鞋底、内底;	冶金工业;炼钢;平炉炼钢;平炉操作技术;开炉装料;
运动;游戏;体育锻炼、爬山的器械;训练器械;登山运动用的器械;	其他轻工业、手工业;体育器具制造工业;其他体育器具;登山运动器具;	电信技术;通信;电报中继及交换;中继器;
服装;衣饰配件;衣服的零件或其制作;修饰品;装饰物;	服装工业;服装工业;各种服装制品;各种服装：装饰用品分;	武器、军用器材;海军武器;水中武器;深水炸弹;
体育锻炼、体操或击剑用的器械;击剑用的;	教育、体育;体育;其他体育运动;击剑;	航空、航天;航空;飞机构造与设计;座舱;座舱盖;
农业;一般农业机械或农具的部件、零件或附件;犁;畜力牵引犁;	农业科学;农业工程;农业机械及农具;耕耘机具;犁;畜力犁;	畜牧;普通畜牧学;饲料;饲料加工处理与贮藏、保存方法;
鞋类;鞋类的特征;鞋类的部件;鞋跟;	制鞋工业;制鞋工业;结构、部件及配件;鞋跟;	铁路运输;铁路运输管理工程;铁路枢纽;进站线路疏解、进路交叉;交叉;
乳制品，奶;奶或干酪的代用品;奶配制品;奶粉或奶粉的配制品;	轻工业、手工业;食品工业;乳品加工工业;各种乳制品;奶粉;	电工技术;电机;电机制造工艺及设备;一般制造工艺;
运动;体育锻炼;球类;穿弦网球;	教育、体育;体育;球类运动;网球;	电气化、电能应用;家用电器及其他电器设备;厨房用电器、电炊具;电烤箱;
运动;体育锻炼;球类;穿弦网球;	体育器具制造工业;球类运动器具;网球、球网及附件;	无线电电子学;无线电导航;导航设备、导航台;导航计算机;
医学;卫生学;治疗免疫或过敏性疾病的药物;	医药、卫生;基础医学;医学免疫学;免疫药理学;	轻工业、手工业;纺织工业、染整工业;非织造布;各类非织造布;针刺法非织造布;
医学;卫生学;治疗免疫或过敏性疾病的药物;	医药、卫生;药学;药理学;免疫药理学;	纺织工业、染整工业;毛纺织;原毛初加工;羊毛脂回收;
农业;种植;播种;施肥;厩肥处理;施厩肥;厩肥装载机;	农业工程;农业机械及农具;肥料机械;厩肥、堆肥装载机，施肥机;	化学工业;试剂与纯化学品的生产;离子交换剂;离子交换剂的使用方法;电解法;
烟草;雪茄烟;纸烟;制造雪茄烟的部件;	烟草工业;烟草加工工艺及制品;雪茄烟;	农业工程;农业机械及农具;田间管理机械;中耕除草、培土机械;除草机;
农业;畜牧业;狩猎;畜牧业;畜牧业用的其他设备;	农业科学;畜牧;普通畜牧学;畜牧业的机具及设备;	公路运输;汽车工程;汽车结构部件;行走系统;车轮;轮辋;组合式;
食品或食料;咖啡;咖啡;咖啡代用品;	农业科学;农作物;饮料作物;咖啡;	农业机械及农具;收获机械;块根作物收获机;花生、油莎豆收获机;
农业;林业;畜牧业;脱粒;脱粒设备;	农业机械及农具;脱粒机具;简易脱粒机具;	机械、仪表工业;机械零件及传动装置;转动机件;联轴器、离合器;
农业;种植;施肥;施肥机工作部件的驱动装置;	农业科学;农业基础科学;肥料学;施肥机具;	电信技术;通信;通信保密与通信安全;保密通信:按传输线路分;无线保密通信;
农业;林业;种植;施肥;施肥机工作部件的驱动装置;	农业工程;农业机械及农具;田间管理机械;肥料机械;施肥机;	机械、仪表工业;起重机械与运输机械;运输机械;输送机辅助设备;抛料机;
农业;林业;种植;播种;播种机工作部件的驱动装置;	农业工程;农业机械及农具;种植机械;播种机;特殊结构播种机;	工业技术;电工技术;电器;继电器;电继电器;电磁继电器;
机床;金属加工;车削;镗削;镗、钻床组;镗床;卧式镗铣组合机床;	金属学与金属工艺;金属切削加工及机床;镗削加工及镗床;卧式镗床;	矿业工程;矿山安全与劳动保护;矿井通风;通风系统、通风方法与设备;
基本上无切削的金属机械加工;金属冲压;冲压金属;折缘或其他边缘处理，如管的;管端反向装缘;	金属学与金属工艺;金属压力加工;冷冲压（钣金加工）;冷冲压工艺;各种型材的冷冲压工艺;管材冲压;	金属学与金属工艺;铸造;铸造机械设备;铸件落砂和清理设备;去除浇口、冒口;
作业;运输;无轨陆用车辆;专门适用于这些交通工具的传动装置;以使用非机械传动，例如液力传动为特点的传动装置;	机械、仪表工业;机械零件及传动装置;液压传动;传动装置;动力式液压传动;	建筑科学;建筑施工机械和设备;混凝土机械与设备;混凝土及砂浆搅拌机、搅拌车;混凝土搅拌机;
一般的物理或化学的方法或装置;化学或物理方法，例如，催化作用或胶体化学;其有关设备;制备催化剂之一般方法;混合;	化学工业;试剂与纯化学品的生产;催化剂（触媒）;催化剂制备工艺;催化剂成型方法;	航空发动机;发动机附件系统;起动系统;原理;电动起动;
塑料的加工;一般处于塑性状态物质的加工;涉及成型材料或涉及用于增强材料、填料或预型件;用聚烯烃增强;	工业技术;化学工业;合成树脂与塑料工业;聚合类树脂及塑料;聚烯烃类及塑料;	纺织工业;毛纺织;原毛初加工;烘干;
印刷;排版机;制版、排字或拆版还字用的机器或附件;照相或光电排字装置;光电排字机;	轻工业、手工业;印刷工业;一般性问题;机械与设备;排版设备;	能源与动力工程;蒸汽动力工程;蒸汽锅炉;锅炉构造;水处理及给水装置;
其他类目中不包括的金属加工;钎焊或脱焊;焊接;用钎焊或焊接方法包覆或镀敷;关于钎焊或焊接的;	工业技术;金属学与金属工艺;焊接、金属切割及金属粘接;焊接工艺;钎焊;	化学工业;一般性问题;化学反应过程;一般化学反应过程;卤化、卤化剂;
塑料的加工;一般处于塑性状态物质的加工;用未特别指定的高分子化合物作为模制材料;热固性树脂;	工业技术;化学工业;合成树脂与塑料工业;合成树脂及塑料;合成树脂;热固性树脂;	造纸工业;产品;各种加工纸;涂布加工纸;
飞行器;航空;宇宙航行;用于与飞机配合或装到飞机上的设备;其他类目不包含的应急设备或装置;弹射或离机装置;弹射座椅;	航空、航天;航空;航空仪表、航空设备、飞行控制与导航;防护、救生设备及其技术;救生设备;应急离机设备;弹射座椅;	建筑科学;建筑施工机械和设备;混凝土机械与设备;混凝土及砂浆搅拌机、搅拌车;砂浆搅拌机;
基本上无切削的金属机械加工;金属冲压;金属板或管、棒的加工或处理;配置于压力机上或与压力机有关的特殊拉深装置;	工业技术;金属学与金属工艺;金属压力加工;锻造、锻压与锻工;锻造用机械与设备;曲柄压力机;模锻曲柄压力机;	金属学与金属工艺;金属表面处理;金属表面防护技术;金属复层保护;电镀法;
飞行器;航空;宇宙航行;飞机;直升飞机;旋翼机;其特有的旋翼;直升飞机;	航空、航天;航空;各类型航空器;短距和垂直升降航空器;直升飞机、旋翼机;	建筑科学;建筑材料;建筑化工材料;建筑塑料制品;塑料屋面材料;
塑料的加工;一般处于塑性状态物质的加工;涉及成型材料或涉及用于增强材料、填料或预型件;硼;	化学工业;合成树脂与塑料工业;增强塑料、填充塑料;硼纤维增强塑料;	交通运输;铁路运输;车辆工程;货车;罐车;
一般的物理或化学的方法或装置;化学或物理方法;离子交换剂的再生或再活化;其设备;电再生;	化学工业;试剂与纯化学品的生产;离子交换剂;离子交换剂的使用方法;电解法;	轻工业、手工业;制鞋工业;制鞋工业;制鞋机具与设备;其他;
塑料的加工;一般处于塑性状态物质的加工;用纤维素、改性纤维素或纤维素衍生物增强，如黏胶;	化学工业;合成树脂与塑料工业;天然高分子树脂与塑料;改性天然树脂与塑料;纤维素脂及塑料;	公路运输;汽车工程;汽车结构部件;仪表;指示信号灯;
机床;其他类目中不包括的金属加工;焊接;局部加热切割，如火焰切割;气体火焰焊接;用于非接合目的，如堆焊;	工业技术;金属学与金属工艺;焊接、金属切割及金属粘接;焊接工艺;堆焊及补焊;	音乐;器乐理论与演奏法;键盘、簧乐理论和演奏法;手风琴;
印刷;印刷机械或印刷机;平压平印刷机;用于平版印刷;	轻工业、手工业;印刷工业;平版印刷;印刷过程与设备;	工业技术;金属压力加工;锻造用机械与设备;摩擦压力机;
无轨陆用车辆;畜拉车;车的类型;客车;	交通运输;铁路运输;车辆工程;客车;	公路运输;桥涵工程;各种桥梁;桥梁：按结构分;悬索桥;
运输;一般车辆;调节车轮制动力的装置;调节过程中控制参数的确定，例如通过对测量或检测的参数的计算;	交通运输;公路运输;汽车工程;整车设计与计算;整车性能计算;制动性计算;	电工技术;电器;电容器;电容器:按结构分;卷式电容器;
一般车辆;一般车辆的电力制动系统;与动态电能量回收式制动联用的动态电阻制动;	交通运输;铁路运输;机车工程;机车构造;制动装置;电控制动及装置;	工业技术;轻工业、手工业;其他轻工业、手工业;乐器制造工业;电乐器;电振荡乐器;
一般车辆;一般车辆的电力制动系统;与动态电能量回收式制动联用的动态电阻制动;	交通运输;公路运输;汽车工程;汽车结构部件;制动系统;制动操纵装置;电力式;	玩具制造工业;各种玩具：按造型分;交通工具;
包装;贮存;用于物件或物料贮存或运输的容器;麻袋、袋或类似容器;以使用的材料为特点的;用织物制作的;	轻工业、手工业;纺织工业、染整工业;麻纺织;麻织工艺;麻袋缝制;	武器工业;水中兵器;深水炸弹及发射装置;火箭式发射装置;
装订;图册;文件夹;特种印刷品;没有另作规定的特殊格式或风格的印刷品;报纸或类似的物品;	轻工业、手工业;印刷工业;印刷技术的应用;报纸印刷;	化学工业;非金属元素及其无机化合物化学工业;硼及其无机化合物;硼;
磨削;抛光;用于磨削或抛光的机床、装置或工艺;磨削，抛光剂或研磨剂的进给;磨削机床或装置的驱动或传动装置;及其设备;	金属学与金属工艺;金属切削加工及机床;磨削加工与磨床;磨床设计、制造与维修;结构;液压传动系统及装置;	医药、卫生;神经病学与精神病学;神经病学;植物性神经系疾病;偏头痛;
磨削;抛光;用于磨削或抛光的机床、装置或工艺;磨削机床或装置的部件，比如机架，床身;工件支架;	金属学与金属工艺;金属切削加工及机床;磨削加工与磨床;磨床设计、制造与维修;结构;机械结构;	机械、仪表工业;机械零件及传动装置;转动机件;轴承;滚动轴承;滚柱轴承;
卷扬;提升;牵引;升降机;自动扶梯或移动人行道;自动扶梯或移动人行道的零部件;扶手栏杆;	机械、仪表工业;起重机械与运输机械;自动扶梯;	一般性问题;化工机械与仪器、设备;化工用炉灶、化工窑;炉窑附属设备;
金属机械加工;金属冲压;金属的轧制;金属轧制的方法或制造实心半成品或成型截面的轧机;轧制特殊截面形状的工件，如角钢;	金属学与金属工艺;金属压力加工;轧制;轧制工艺;型材轧制;角钢轧制;	工业技术;轻工业、手工业;造纸工业;造纸工艺;纸品加工工艺;层压加工、复合加工;
