A63B37/00 运动;游戏;娱乐活动;体育锻炼;球类;训练器械;实芯球;弹子;
A41G9/00 服装;羽饰;天然羽毛的装饰品;加工天然羽毛;
A01C3/04 林业;种植;播种;施肥;厩肥处理;施厩肥;厩肥装载机;
A01K47/00 农业;畜牧业;狩猎;畜牧业;昆虫的管理;蜂箱;
A01K29/00 农业;畜牧业;狩猎;畜牧业;畜牧业用的其他设备;
A23F5/00 食品或食料;咖啡;咖啡;咖啡代用品;
A01F7/00 农业;林业;畜牧业;脱粒;脱粒设备;
A23G1/00 食品或食料;可可;可可;可可制品;
A01C19/00 农业;种植;施肥;施肥机工作部件的驱动装置;
A01C19/00 农业;林业;种植;施肥;施肥机工作部件的驱动装置;
A01C19/00 农业;林业;种植;播种;播种机工作部件的驱动装置;
B23B39/02 机床;金属加工;车削;镗削;镗、钻床组;镗床;卧式镗铣组合机床;
B21D19/16 基本上无切削的金属机械加工;金属冲压;冲压金属;折缘或其他边缘处理，如管的;管端反向装缘;
B62M19/00 作业;运输;无轨陆用车辆;专门适用于这些交通工具的传动装置;以使用非机械传动，例如液力传动为特点的传动装置;
B22C17/02 铸造;铸造造型;以模型从铸型中分离的机构或翻转型箱或模板的机构为特征的制造铸型或型芯的造型机;带顶杆装置的造型机;
B23K31/02 其他类目中不包括的金属加工;钎焊或脱焊;焊接;用钎焊或焊接方法包覆或镀敷;关于钎焊或焊接的;
B29K101/10 塑料的加工;一般处于塑性状态物质的加工;用未特别指定的高分子化合物作为模制材料;热固性树脂;
B64D25/10 飞行器;航空;宇宙航行;用于与飞机配合或装到飞机上的设备;其他类目不包含的应急设备或装置;弹射或离机装置;弹射座椅;
B64C27/04 飞行器;航空;宇宙航行;飞机;直升飞机;旋翼机;其特有的旋翼;直升飞机;
B29K507/02 塑料的加工;一般处于塑性状态物质的加工;涉及成型材料或涉及用于增强材料、填料或预型件;硼;
B66F5/00 卷扬;提升;牵引;如把提升力或推动力直接作用于载荷表面的装置;移动式千斤顶;
B01J49/30 一般的物理或化学的方法或装置;化学或物理方法;离子交换剂的再生或再活化;其设备;电再生;
B29K201/00 塑料的加工;一般处于塑性状态物质的加工;用纤维素、改性纤维素或纤维素衍生物增强，如黏胶;
B23K5/18 机床;其他类目中不包括的金属加工;焊接;局部加热切割，如火焰切割;气体火焰焊接;用于非接合目的，如堆焊;
B41F1/18 印刷;印刷机械或印刷机;平压平印刷机;用于平版印刷;
B62C1/02 无轨陆用车辆;畜拉车;车的类型;客车;
B23F5/28 机床;其他类目中不包括的金属加工;齿轮或齿条的制造;制作直形齿轮齿;用拉削;用拉铣;
B60T8/172 运输;一般车辆;调节车轮制动力的装置;调节过程中控制参数的确定，例如通过对测量或检测的参数的计算;
B60L7/22 一般车辆;一般车辆的电力制动系统;与动态电能量回收式制动联用的动态电阻制动;
B60L7/22 一般车辆;一般车辆的电力制动系统;与动态电能量回收式制动联用的动态电阻制动;
B65D30/04 包装;贮存;用于物件或物料贮存或运输的容器;麻袋、袋或类似容器;以使用的材料为特点的;用织物制作的;
B42D7/00 装订;图册;文件夹;特种印刷品;没有另作规定的特殊格式或风格的印刷品;报纸或类似的物品;
B24B25/00 磨削;抛光;用于磨削或抛光的机床、装置或工艺;磨具磨损表面的修理或调节;磨削，抛光剂或研磨剂的进给;万能磨床;
B24B47/00 磨削;抛光;用于磨削或抛光的机床、装置或工艺;磨削，抛光剂或研磨剂的进给;磨削机床或装置的驱动或传动装置;及其设备;
B66C23/00 卷扬;提升;牵引;起重机;用于起重机的载荷吊挂元件或装置;起重机，如各种用途起重机;
B24B41/06 磨削;抛光;用于磨削或抛光的机床、装置或工艺;磨削机床或装置的部件，比如机架，床身;工件支架;
B66B23/22 卷扬;提升;牵引;升降机;自动扶梯或移动人行道;自动扶梯或移动人行道的零部件;扶手栏杆;
B61G3/00 铁路;专门适用于铁路车辆的连接器;包括形状相似的啮合部件，而不需使用任何附加元件或构件的连接器;
B28C5/42 加工水泥、黏土或石料;制造水泥与其他材料混合物的设备或方法，例如与泥浆，砂浆;专门适用于装在车上用于在运输时搅拌的装置;
B60P3/16 一般车辆;适用于货运或运输、装载或包容特殊货物或物体的车辆;用于载运搅拌好的混凝土，例如具有转鼓的;
B66B15/00 运输;提升;升降机;矿井提升机卷扬装置的主要部件;
B42D1/08 装订;图册;书;书籍封皮;书或其他装订成册的制品;图册;
B23G5/18 金属加工;螺纹切制;螺钉、螺栓头或螺母的加工;螺纹切制刀具;铣刀;
B65G31/00 运输;输送;运输装置，装载或倾卸用输送机;物件或固体物料机械抛料机;
B61G9/00 运输;铁路;专门适用于铁路车辆的牵引装置或缓冲装置;牵引装置;
B62D35/00 运输;无轨陆用车辆;机动车;挂车;以流线型为特点的车身;
B60K25/00 运输;车辆动力装置或传动装置;车辆辅助驱动装置;辅助驱动装置;
B01D5/00 作业;一般的物理或化学的方法或装置;分离;蒸气的冷凝;
B66B9/16 运输;提升;升降机;在楼房或其他建筑物内的，或与之配合的电梯的种类和形式;升降机;
B23C3/00 机床;金属加工;铣削;特殊工件的铣削;特殊铣削加工;其所用机床;
B65B59/00 包装;包装物件或物料的机械，装置或设备;使机械能处理不同尺寸的物件;
B61D5/00 运输;铁路;铁路车辆;用于运载液体材料的罐车;
B05C19/00 对表面涂布的装置;专门用于对表面涂布微粒物质的装置;
B01J47/014 一般的物理或化学的方法或装置;化学或物理方法;一般的离子交换方法;其中涉及到了离子交换剂的吸附性能;
B01J47/022 化学或物理方法;一般的离子交换方法;柱工艺;以柱或容器的构造为特征的;
B03B5/28 洗选颗粒状、粉末状或块状物料;沉—浮分离机械分选机;
B03B5/00 用液体或用风力摇床或风力跳汰机分离固体物料;湿法分离;
B62M3/00 运输;无轨陆用车辆;交通工具的传动装置;用手或脚操作的曲柄结构;
B60N2/00 运输;一般车辆;用于车辆的特殊位置;专门适用于车辆的座椅;车辆上座椅的布置或安装;
B64D29/00 飞行器;航空;动力装置在飞机中的配置或安装;动力装置短舱、整流装置或整流罩;
B24B51/00 磨削;用于磨削的机床、装置或工艺;用于磨削工件时一系列的单个步骤的自动控制装置;
B42B5/00 装订;特种印刷品;永久性装订;单张纸、纸叠或帖码的永久性装订;
B66C25/00 运输;提升;起重机;用于起重机的载荷吊挂元件或装置;起重机;
B61K3/00 运输;铁路;用于铁路的其他辅助设备;润湿或润滑轨道或轮缘;
B21K29/00 金属机械加工;金属冲压;制造金属锻件或压制件;在加工过程中用于加热的装置;
B23D55/00 机床;金属加工;锯;锉削;仅以特殊部件结构为特征的带锯床或带锯机;
B21J9/00 金属机械加工;金属冲压;锻造;锤击;压制;锻压机;
B64C5/02 飞行器;航空;宇宙航行;飞机;稳定面;水平尾翼;
B64C5/08 航空;飞机;直升飞机;稳定面;安装在机翼上或靠机翼支承的;
B21D22/20 金属机械加工;金属冲压;冲压金属;用冲压、旋压或拉深的无切削成型;拉深;
B60R19/52 运输;一般车辆;车辆、车辆配件或车辆部件;散热器防护栅;散热器或护栅;
B60R19/02 运输;一般车辆;车辆、车辆配件或车辆部件;碰撞冲力的阻尼配件;缓冲器;
B41B11/00 印刷;排版机;制版、排字;排版用的机械、零件;
B01D17/02 一般的物理或化学的方法或装置;分离;液体的分离;不互溶的液体的分离;
B25J9/00 机械手;机械手;装有操纵装置的容器;程序控制机械手;
B25J7/00 机械手;机械手;装有操纵装置的容器;微型机械手;
B61D13/00 运输;铁路;铁路车辆的种类;有轨电车;
B23K1/00 金属加工;钎焊或脱焊;焊接;钎焊，如硬钎焊;
B43K19/02 书写或绘图器具;办公用品;非活动铅笔;铅笔;彩色铅笔;
B23K103/12 金属加工;焊接;被钎焊、焊接或切割的材料;有色金属;铜或铜合金;
B23K103/06 金属加工;焊接;被钎焊、焊接或切割的材料;铁和黑色合金;铸铁合金;
B23K103/10 金属加工;焊接;被钎焊、焊接或切割的材料;有色金属;铝或铝合金;
B41F5/00 印刷;印刷机械或印刷机;凸版轮转印刷机;
B60B5/00 运输;一般车辆;车轮;全部或主要由非金属材料制造的车轮、轮毂;
B60B5/00 运输;一般车辆;车轮;全部或主要由非金属材料制造的车轮、轮辋;
B21B13/08 金属机械加工;金属的轧制;金属轧机机座，即由机架、轧辊和附件组成的组装件;轧辊轴;
B64D35/00 飞行器;航空;宇宙航行;从动力装置至螺旋桨或旋翼的动力传动装置;
B63J2/02 运输;船舶或其他水上船只;与船有关的设备;船上辅助设备;空气调节设备的配置;空气调节;
B63J2/12 运输;船舶或其他水上船只;与船有关的设备;船上辅助设备;加热的配置;加热;
B61D29/00 运输;铁路;铁路车辆的车体部件;用于铁路车辆照明装置的布置铁路;
B43L5/00 书写或绘图器具;书写或绘图用品;书写或绘图辅助用品;绘图板;
B23D77/14 金属加工;剪切;铰刀;专用铰刀;
B64C1/14 飞行器;航空;宇宙航行;飞机;机身;窗;门;
B64C1/14 飞行器;航空;宇宙航行;飞机;机身;舱盖;座舱盖;
B64C1/26 飞行器;航空;宇宙航行;飞机;机翼;机翼;
B64C1/26 航空;宇宙航行;飞机;机翼，类似部件共同的结构特征;机翼或机尾;
B22D17/14 铸造;金属铸造;用相同工艺或设备的其他物质的铸造;带有真空压铸模型腔的压铸机;
B60T15/02 一般制动控制系统或其部件;装在动力制动系统内的阀的结构;控制阀和放气阀;
B41L27/00 印刷;模印机;地址印刷机或类似的系列印刷机;油墨的配置或装置;
B62B13/16 雪橇;有滑板的雪橇;可收缩或可折叠的雪橇;
B21D17/02 金属冲压;冲压金属;在金属板或管状或空心制品上制作单槽;用压制方法;
B24B21/00 磨削;抛光;用于磨削或抛光的机床、装置或工艺;使用磨削或抛光带的机床或装置;
B63G7/02 与船有关的设备;扫雷;扫雷;扫雷装置;消灭水雷的装置;
B26F3/04 切割;切断;打孔;冲孔;切下;冲裁;除切割外的切断;用除切割外的方法切断;所用的设备;用挤压切断;
B24D7/02 磨削;不仅以周边起作用的黏结砂轮或镶入磨块的砂轮;及其衬套或固定件;整体砂轮;
B61G11/00 运输;铁路;专门适用于铁路车辆的牵引装置或缓冲装置;缓冲器;
B60B21/06 运输;一般车辆;车轮;用于车轮或脚轮的轴;轮辋;以轮辐安装方式为特点的;
B21H5/00 基本上无切削的金属机械加工;用轧制方法制造特殊的金属物品，如螺钉;制造齿轮;
B23D7/04 机床;刨削;插削;仅以特殊部件结构的特点为特征的刨床或插床;立柱的，横梁的;
B23K9/013 金属加工;焊接;局部加热切割;电弧焊接或电弧切割;电弧切割、刨削、表面缺陷清除或清除表面金属;
B23K9/16 金属加工;焊接局部加热切割，如火焰切割;电弧焊接或电弧切割;使用保护气体;
B64D7/02 飞行器;军用设备，例如武器;武器是轻武器;
B42F19/00 特种印刷品;单页的临时装订;文件卡片;合订卡片;
B63C7/00 用于打捞或搜索水下目标的装置;破损，搁浅或沉没船只的打捞;船只部件或装备的打捞;
B21C29/00 金属冲压;与基本无切削金属加工有关的辅助加工;挤压工件或挤压机部件的冷却或加热;
B24D3/00 磨削、抛光或刃磨用的工具;研磨体或研磨板的物理特征;研磨体或研磨板的成分特征;
B21J11/00 基本上无切削的金属机械加工;金属冲压;锻造;锤击;压制;与锻压机联合的锻锤;
B60C9/00 运输;一般车辆;车用轮胎;轮胎充气;充气轮胎的增强层的配置;
B23D39/00 机床;刨削;拉削;拉床或拉削装置的附件;
B01B1/00 一般的化学的方法或装置;沸腾;沸腾装置;供化学用途的沸腾装置;
B60D1/14 运输;一般车辆;车辆的连接件;牵引连接器;牵引装置;以类型为特点的牵引装置或拖曳装置;
B21J17/00 基本上无切削的金属机械加工;金属冲压;锻造;锻造炉;锻造炉;
B23D5/02 机床;金属加工刨削;仅包含旋转和直线运动，如用于螺旋槽的切削;
B21H3/10 金属机械加工;金属冲压;制造螺旋形物体或具有部分螺旋形的物体;麻花钻头;
B24B37/11 磨削;用于磨削的机床、装置;研磨机床或装置;附件;研具;
B66B25/00 运输;提升;升降机;自动扶梯或移动人行道;自动扶梯或移动人行道的控制;
B23K9/04 金属加工;焊接;电弧焊接或电弧切割;用于非接合目的的焊接，如堆焊;
B41L39/02 印刷;指示、计数、报警、控制或安全装置;指示装置，如计数器;
B23B1/00 机床;金属加工;车削;车削或基本上需要使用车床加工的方法;
B01J32/00 一般的物理或化学的方法或装置;化学方法，催化作用;催化剂的一般载体;
B62D113/00 运输;无轨陆用车辆;机动车;挂车;转向机构零件的位置，例如转向盘;
B23P21/00 机床;金属加工;组合加工;有程序控制的组合单元的机械;
B01D11/00 一般的物理或化学的方法或装置;分离;溶剂萃取;
B04B15/00 离心装置或离心机;离心机;用于在离心机中排气或形成真空;
B04B15/00 用于实现化学工艺过程的离心装置或离心机;离心机;用于离心机的其他附件;
B63B3/00 运输;船舶或其他水上船只;与船有关的设备;船用设备;船体结构;
B63B3/00 运输;船舶或其他水上船只;与船有关的设备;船用设备;船体结构;
B62D9/00 运输;无轨陆用车辆;机动车;挂车;其他类目不包含的可偏转轮的转向机构;
B31F1/00 纸或纸板或类似纸的方式加工的材料的加工;纸张;复合变形和层压，与层压结合;
B61J3/00 运输;铁路;铁路车辆的移位或调车;调车或近距离拖运设备;
B64C25/62 飞行器;航空;飞机;直升飞机;起落架;减震器;弹簧减震器;
B60P3/00 运输;一般车辆;适用于货运、或运输的车辆;
B41F15/00 印刷;印刷机械或印刷机;丝网印刷机;
B61C1/00 运输;铁路;机车;机动有轨车;蒸汽机车或蒸气有轨车;
B41L19/00 印刷;办公或其他商业用的印刷设备或装置;印刷设备或机械;
B22D47/00 铸造;金属铸造;其他物质的铸造;铸造车间;
B60C7/00 一般车辆;车用轮胎;非充气胎或实心轮胎;
B41C3/04 印刷;印刷版的制造或复制工艺;橡胶印版的制作;
B41F16/00 印刷;印刷机械或印刷机;转印印刷设备;
B61L1/02 运输;铁路;铁路交通管理;与轨道相连的电气设备;
B61L17/00 运输;铁路;铁路交通管理;调车场的转辙系统;
B22D31/00 铸造;金属铸造;其他物质的铸造;铸造后的剩余材料，如浇口及冒口的切割;
B23G1/00 机床;金属加工;螺纹切制;螺纹切制;专用自动机床;
B23G1/36 机床;金属加工;螺纹切制;螺纹切制;专用自动机床;用磨削;
B60K13/00 运输;一般车辆;与车辆动力装置的进气、排气的布置;与动力装置燃气进气或排气结合的布置;
C21B13/12 冶金;铁的冶金;铁或钢的冶炼;直接还原法炼海绵铁或液体钢;在电炉中;
C09B9/04 化学;染料;有机染料或用于制造染料的有关化合物;还原性染料的隐色体;靛类染料的;
C07C261/00 化学;冶金;有机化学;无环或碳环化合物;氰酸的衍生物;
C22C21/00 化学;冶金;黑色或有色金属合金;合金或有色金属的处理;合金;铝基合金;
C01G56/00 化学;冶金;无机化学;金属的化合物;超铀元素的化合物;
C21D11/00 化学;冶金;铁的冶金;改变黑色金属的物理结构;热处理过程的控制或调整;
C07C41/01 化学;冶金;有机化学;无环或碳环化合物;醚的制备;醚的制备;
C09J111/02 化学;黏合剂;基于氯丁二烯的均聚物或共聚物的黏合剂;胶乳;
C01F5/00 化学;无机化学;金属镁的化合物，或稀土金属的化合物;镁的化合物;
C05C3/00 化学;肥料;肥料制造;氮肥;含有其他铵盐或氨的肥料，如煤气水;
C08B3/00 化学;有机高分子化合物;其制备或化学加工;多糖类;其衍生物;有机酸纤维素酯的制备;
C23G3/00 表面化学处理;电解法除外的化学法金属材料清洗及除油;金属材料清洗或酸洗用的设备;
C10L3/12 石油;燃料;液化石油气;气体燃料;液化石油气;液化石油气;
C07C331/00 化学;有机化学;无环或碳环化合物;硫氰酸或异硫氰酸的衍生物;
C09B43/00 化学;染料;涂料;有机染料或用于制造染料的有关化合物;由其他偶氮化合物制备的偶氮染料;
C10B15/00 化学;炼焦工业;含碳物料的干馏生产煤气、焦炭、焦油或类似物;其他炼焦炉;
C07C243/10 化学;有机化学;无环或碳环化合物;含有氮原子之间以单键相连的链的化合物;肼;
C21B15/02 冶金;铁的冶金;铁或钢的冶炼;金属热还原法，如铝热还原法;
C08L91/06 化学;有机高分子化合物;其制备或化学加工;油、脂肪或蜡的组合物;其衍生的组合物;蜡;
C10B47/00 化学;炼焦工业;含碳物料的干馏生产焦炭、焦油;固体含碳物料干馏;
C09J181/06 化学;天然树脂;黏合剂;基于聚砜的黏合剂;聚砜;聚醚砜;
C09F1/04 化学;天然树脂;天然树脂;天然树脂的取得，精制或化学改性，如含油树脂;化学改性，如酯化;
C08L97/02 高分子化合物的组合物;含木质素材料的组合物;木质纤维材料;
C05F9/04 肥料;肥料制造;有机肥料;自家庭或市镇垃圾制成的肥料;生物堆肥;
C09B39/00 化学;染料;有机染料或用于制造染料的有关化合物;由重氮化及偶合制备的其他偶氮染料;
C21B5/02 冶金;铁的冶金;铁或钢的冶炼;高炉炼生铁;炼特殊生铁;
C21B5/00 冶金;铁的冶金;铁或钢的冶炼;高炉炼生铁;
C21B5/04 冶金;铁的冶金;铁或钢的冶炼;高炉炼生铁;特殊成分炉渣的炼制;
C08L79/02 化学;高分子化合物的组合物;含氮的，高分子化合物的组合物;聚胺;
C22C38/18 冶金;黑色或有色金属合金;合金;铁基合金;含铬的;
C09D113/02 化学;涂料;基于含羧基橡胶的涂料组合物;胶乳;
C06F1/00 化学;炸药;火柴;火柴;火柴的制造;火柴的机械加工;
C06F1/00 化学;炸药;火柴;火柴;火柴的制造;火柴的机械加工;
C07F9/02 化学;有机化学;含周期表第5或15族元素的化合物;磷化合物;
C22F1/08 黑色或有色金属合金;用热处理法或用热加工法改变有色金属或合金的物理结构;铜或铜基合金;
C08J3/24 化学;有机高分子化合物;高分子物质的处理或生产过程;高分子的交联;
C05F3/04 肥料制造;有机肥料;人排泄物制成的肥料，如粪肥;由人粪便;
C01G39/00 化学;无机化学;金属的化合物;钼的化合物;
C05F11/00 化学;肥料;肥料制造;有机肥料，如用废物或垃圾制成的肥料;其他有机肥料;
C11B11/00 化学;生产，脂肪物质例如羊毛脂;羊毛脂的回收;
C05F11/00 化学;肥料;肥料制造;有机肥料，如用废物或垃圾制成的肥料;其他有机肥料;
C09B15/00 化学;染料;有机染料或用于制造染料的有关化合物;吖啶染料;
C12P19/02 化学;生物化学;含有糖残基的化合物的制备;单糖;
C12P19/02 化学;生物化学;含有糖残基的化合物的制备;单糖;
C12P19/04 化学;生物化学;含有糖残基的化合物的制备;多糖;
C12P19/04 化学;生物化学;含有糖残基的化合物的制备;多糖;
C12P19/22 生物化学;含有糖残基的化合物的制备;麦芽糖;
C12P19/24 化学;生物化学;发酵合成目标化合物;果糖;
C10H19/00 冶金;乙炔的湿法生产;其他乙炔发生器;
C09B31/02 化学;染料;有机染料或用于制造染料的有关化合物;双偶氮及多偶氮染料;双偶氮染料;
C09B31/16 化学;染料;有机染料或用于制造染料的有关化合物;双偶氮及多偶氮染料;三偶氮染料;
C10B29/00 化学;炼焦工业;含碳物料的干馏生产焦炭、焦油;炼焦炉的其他部件;
C02F3/00 水、废水、污水或污泥的处理;水、废水或污水的生物处理;
C11C1/00 化学;从脂肪、油或蜡中获得的脂肪酸;从脂、脂油或蜡制备脂肪酸;
C21C5/42 冶金;钢的冶炼;碳钢的冶炼;转炉炼钢;转炉构造、结构;
C21C5/38 冶金;钢的冶炼;碳钢的冶炼;转炉炼钢;废气或烟尘的去除;
C21C5/30 冶金;钢的冶炼;碳钢的冶炼;转炉炼钢;吹炼的调节或控制;
C21C5/36 冶金;钢的冶炼;碳钢的冶炼;转炉炼钢;造渣;
C21C5/54 冶金;钢的冶炼;碳钢的冶炼;电炉炼钢;造渣;
C09J119/00 化学;黏合剂;黏合剂;橡胶的黏合剂;
C22B1/00 冶金;冶金;原材料的预处理;废料的预处理;
C23C4/12 对金属材料的镀覆;金属材料表面处理;熔融态覆层材料喷镀法;喷镀方法;
C08G77/00 化学;有机高分子化合物;高分子化合物;在高分子主链中形成的高分子化合物;
C08G77/04 化学;有机高分子化合物;在高分子主链中形成含硅键合;聚硅氧烷;
C09B62/00 化学;染料;涂料;有机染料或用于制造染料的有关化合物;活性染料;
C01D9/00 化学;冶金;无机化学;碱金属，即钠、钾的化合物;钠、钾或一般碱金属的硝酸盐;
